id,title,description,release_year,age_certification,runtime,genres,production_country,seasons
308,rem quibusdam Story,Tempora esse voluptates ipsa nobis aut itaque modi accusantium. Asperiores illo doloribus error est repellendus labore tempora temporibus accusamus. Quia cupiditate reprehenderit provident voluptatibus commodi veritatis aperiam qui odio. Ad quae repellat. Nihil quod pariatur nisi totam nemo accusantium tempora perferendis.,2023,U/A,106,Family,RW,10
407,ipsum harum Story,Dicta soluta excepturi unde. Deleniti atque maiores suscipit sapiente.,2023,R18+,95,Adventure,SO,5
3140,facere fugit Story,Dolores praesentium ducimus earum modi ullam. Quis veritatis quo eum aperiam sapiente unde aperiam eligendi impedit. Voluptas eius ad provident exercitationem cupiditate culpa aliquid.,2022,TV-14,124,Action,KW,10
3223,ex tenetur Story,Quo illo non quibusdam nemo aliquid. In hic et officia enim id accusantium consequuntur rem.,2023,U/A,71,Thriller,ET,
3482,ut iusto Story,Eaque harum iste fugit quod cupiditate. Perferendis repellendus odio. Voluptate laboriosam sed cum. Officia quidem voluptatem nam nemo amet dolorem aperiam.,2023,R16,107,Animation,TM,8
1370,tempore natus Story,Numquam earum accusantium. Sint ex non. Rem ex minus. Similique consectetur eveniet ipsam praesentium dolorum perspiciatis blanditiis. Reiciendis quidem tempore dolores quas ipsa vel aut culpa. Dolore perferendis corporis quisquam voluptatem qui commodi voluptatum maiores.,2022,MA15+,154,Sci-Fi,KZ,
1481,voluptates non Story,Ipsa facilis nostrum qui consectetur nulla voluptate. Saepe totam illo in animi quos sapiente minima. Sit autem saepe repellat necessitatibus porro id harum.,2023,R21,97,Adventure,AG,1
3158,aut repudiandae Story,Possimus ab enim necessitatibus esse earum temporibus ad. Excepturi maxime necessitatibus. Eius ducimus non architecto consequuntur. Aspernatur esse voluptates dolor.,2023,S,75,Documentary,KW,
940,dolore aliquam Story,Soluta et iste molestias tempora qui. Eius laboriosam iste quasi. Aliquid illum fuga. Dolorum quibusdam provident libero. Cum ea distinctio at rem eveniet esse nihil nemo vitae. Rem facere esse ipsa dolorem.,2022,TV-Y7,78,Thriller,IS,3
1915,magnam repellat Story,Necessitatibus ut adipisci nesciunt aliquid quibusdam. Impedit ea ipsa consequuntur cupiditate rerum. Quam distinctio recusandae aliquid et dignissimos repudiandae excepturi. Ut fuga cumque necessitatibus unde ipsa repellendus nisi illum. Architecto iste magni. Exercitationem architecto ducimus veritatis officia a.,2023,G,107,Adventure,SI,
3503,perspiciatis et Story,Unde incidunt odit delectus temporibus magnam nihil molestiae dolores. Aperiam adipisci inventore voluptatem numquam commodi harum unde earum assumenda. Voluptatum inventore itaque illum. Voluptates dignissimos quidem iure.,2023,A,113,Drama,CR,3
